Month,U.S.,Alaska,Arkansas,Kansas,Other States,Federal Offshore--Gulf of Mexico,Wyoming,West Virginia,Utah,Pennsylvania,Texas,Oklahoma,Ohio,North Dakota,New Mexico,Montana,Louisiana,Colorado,California
2008-06-01,70626,8875,1196,1024,2995,7339,6839,670,1198,540,21446,5241,224,243,3975,323,3989,3576,932
2008-07-01,71137,8375,1256,1034,3150,7468,6940,674,1200,512,21547,5256,220,243,4179,324,4008,3834,919
2008-08-01,70760,8739,1313,1033,3092,6868,6835,678,1277,529,21777,4896,220,249,4092,327,3896,4056,881
2008-09-01,63984,9221,1316,1032,2953,2100,6447,657,1276,542,20435,5224,224,260,4069,330,2960,4049,890
2008-10-01,69464,9674,1375,1026,3113,4368,6909,692,1241,543,21948,5126,236,267,4168,330,3718,3860,870
2008-11-01,71662,9876,1422,1092,3311,5297,7126,681,1275,524,22218,5145,245,269,4078,326,3916,3978,882
2008-12-01,71840,9972,1517,988,3064,5672,7297,657,1259,569,22112,5318,248,242,3957,302,3802,3998,866
2009-01-01,72643,9533,1605,1009,3006,6351,7067,679,1273,783,22211,5322,254,241,3968,304,3829,4330,876
2009-02-01,74077,10007,1627,1018,3280,6635,7220,695,1289,832,22025,5433,251,243,4063,311,3925,4353,871
2009-03-01,72983,9594,1679,994,2901,6726,7135,712,1300,758,22007,5262,245,245,4018,305,3941,4298,864
2009-04-01,71595,9042,1774,984,2750,6550,7028,724,1278,730,21633,5207,242,250,3979,302,4034,4238,850
2009-05-01,70659,8040,1816,994,2946,6606,6957,731,1254,714,21304,5325,236,247,3960,297,4119,4244,869
2009-06-01,71351,8606,1877,976,2912,7088,7030,735,1218,746,21058,5331,234,249,3857,292,4134,4149,857
2009-07-01,70001,8120,1839,952,2792,7272,6446,733,1224,708,20772,5293,230,258,3863,286,4220,4148,845
2009-08-01,70729,8476,2047,985,2979,6858,6746,741,1222,731,20705,5241,230,263,3927,281,4382,4104,810
2009-09-01,69641,8943,1571,972,3019,6728,6461,751,1178,749,20303,5076,235,260,3818,279,4448,4032,819
2009-10-01,70876,9380,2028,953,2945,6728,7010,743,1195,749,19995,5055,247,255,3914,275,4616,3985,801
2009-11-01,71472,9577,2217,951,3179,6377,7256,742,1203,724,19886,5067,256,267,3865,268,4801,4025,812
2009-12-01,70849,9668,2273,901,3369,6427,7057,706,1148,785,19795,4923,259,262,3635,263,4772,3810,797
2010-01-01,71296,9389,2263,903,3017,6561,7074,702,1146,733,20144,4915,223,252,3630,265,4930,4233,915
2010-02-01,73136,9849,2295,923,3301,6749,7092,711,1169,733,20482,4976,221,272,3650,264,5193,4350,909
2010-03-01,73437,9966,2340,911,2877,6788,7110,708,1188,733,20840,5005,215,279,3630,267,5385,4295,901
2010-04-01,73009,9107,2450,907,2977,6507,7087,714,1223,1284,20559,5057,213,282,3688,265,5585,4220,883
2010-05-01,72145,8009,2471,812,3042,6256,6950,717,1234,1284,20887,5063,208,302,3703,259,5738,4306,906
2010-06-01,71292,7666,2517,902,3046,5988,6643,727,1216,1284,20598,5067,206,305,3569,258,6067,4337,895
2010-07-01,71250,6641,2582,876,3103,5817,6784,729,1198,1779,20679,5032,203,324,3723,256,6281,4359,883
2010-08-01,72098,6593,2660,904,3079,6165,6909,730,1200,1779,20802,4984,203,331,3725,251,6415,4523,848
2010-09-01,74605,8809,2686,890,3194,5943,6786,738,1200,1779,20983,5004,206,343,3714,251,6622,4600,857
2010-10-01,76031,9442,2706,899,3520,5954,6746,751,1207,2461,20974,5011,217,348,3637,249,6542,4527,839
2010-11-01,75890,9534,2716,895,3122,5724,6821,754,1179,2461,21323,4959,225,360,3694,247,6867,4161,849
2010-12-01,77433,10214,2789,886,3264,5857,6685,737,1201,2461,21361,5001,228,343,3738,236,7248,4348,836
2011-01-01,74171,7663,2627,873,3206,5815,6540,884,1162,2718,21113,4998,226,340,3376,229,7273,4331,798
2011-02-01,75155,9761,2664,838,3279,5482,6435,935,1205,2718,20216,4812,223,342,3283,223,7480,4443,816
2011-03-01,77770,9800,2717,866,3251,5478,6504,976,1237,2718,21655,5036,217,360,3645,221,7978,4320,790
2011-04-01,78324,9519,2845,873,3261,5407,6557,1016,1269,3178,21660,5110,215,359,3579,221,8115,4345,796
2011-05-01,77770,8688,2868,862,3116,5292,6424,1030,1290,3178,21970,5087,210,364,3592,219,8278,4525,776
2011-06-01,77098,8282,3088,859,3160,5029,6516,1078,1287,3178,21677,5197,208,397,3558,217,8163,4427,776
2011-07-01,75493,6032,2837,845,3308,4802,6586,1135,1294,3685,21746,5186,204,434,3592,218,8344,4488,757
2011-08-01,76466,6793,3088,850,3149,4890,6019,1118,1298,3685,21789,5247,204,466,3598,217,8637,4668,748
2011-09-01,78606,8726,3118,850,3071,4160,6440,1211,1286,3685,22094,5340,208,492,3590,225,8797,4578,734
